Year,CPI
1960,1.243781095
1961,2.457002457
1962,3.117505995
1963,0.697674419
1964,-0.099304867
1965,3.578528828
1966,5.014395393
1967,1.759195796
1968,0.36671157
1969,-0.171501007
1970,2.188527039
1971,3.780206125
1972,5.831644743
1973,9.281194223
1974,17.80994803
1975,19.12018401
1976,11.44903049
1977,14.82096448
1978,16.93178246
1979,7.979352618
1980,13.85818146
1981,11.60305344
1982,20.66671467
1983,11.39778274
1984,10.28409821
1985,13.00656642
1986,2.534275989
1987,8.63767319
1988,12.26496305
1989,13.78931728
1990,17.78181443
1991,20.08449558
1992,27.33236445
1993,45.9788813
1994,28.81438943
1995,1.554328161
1996,8.864087416
1997,11.36184505
1998,6.722436508
1999,5.742001095
2000,9.980025154
2001,5.738598143
2002,1.961308217
2003,9.81569063
2004,11.62403554
2005,10.31277836
2006,14.45373421
2007,9.75888023
2008,26.23981664
2009,9.234125924
2010,3.961388891
2011,14.0224913
2012,9.377770035
2013,5.71749357
2014,6.878154993
2015,6.582154293
2016,6.297249538
2017,8.005649677
2018,4.689806468
2019,5.239637958
2020,5.405162079
2021,6.107936037
2022,7.659862683
2023,7.67139634
